,model_shape_id,gtfs_shape_id,LineID,operator,feed,service_id
1124,114282,30215060,114282,1,metro,WEEKDAY
1125,114652,21102003,114652,1,metro,WEEKDAY
1126,114685,21193003,114685,1,metro,WEEKDAY
1127,114758,10007048,114758,1,metro,WEEKDAY
1129,114019,21197057,114019,1,metro,WEEKDAY
1130,114115,10106090,114115,1,metro,WEEKDAY
1131,114116,21106091,114116,1,metro,WEEKDAY
1132,114174,10014603,114174,1,metro,WEEKDAY
1133,114175,10014604,114175,1,metro,WEEKDAY
1135,114062,11072288,114062,1,metro,WEEKDAY
1137,114060,20071011,114060,1,metro,WEEKDAY
1138,114061,11072282,114061,1,metro,WEEKDAY
1139,114063,20072160,114063,1,metro,WEEKDAY
1140,114065,11073300,114065,1,metro,WEEKDAY
1141,114133,10118370,114133,1,metro,WEEKDAY
1142,114158,21124052,114158,1,metro,WEEKDAY
1143,114177,21014605,114177,1,metro,WEEKDAY
1144,114046,20048610,114046,1,metro,WEEKDAY
1145,114070,40008023,114070,1,metro,WEEKDAY
1146,114102,10101079,114102,1,metro,WEEKDAY
1147,114114,10106089,114114,1,metro,WEEKDAY
1148,114117,21106093,114117,1,metro,WEEKDAY
1149,114190,10150179,114190,1,metro,WEEKDAY
1150,114552,10007009,114552,1,metro,WEEKDAY
1152,114057,21661013,114057,1,metro,WEEKDAY
1153,114069,20073159,114069,1,metro,WEEKDAY
1156,114571,20072162,114571,1,metro,WEEKDAY
1157,114579,20073106,114579,1,metro,WEEKDAY
1158,114041,11041221,114041,1,metro,WEEKDAY
1159,114043,11041240,114043,1,metro,WEEKDAY
1160,114184,10143047,114184,1,metro,WEEKDAY
1161,114199,10158011,114199,1,metro,WEEKDAY
1162,114222,10179035,114222,1,metro,WEEKDAY
1163,114243,10192048,114243,1,metro,WEEKDAY
1164,114370,11028519,114370,1,metro,WEEKDAY
1165,114444,21004562,114444,1,metro,WEEKDAY
1166,114482,20048607,114482,1,metro,WEEKDAY
1167,114492,11005153,114492,1,metro,WEEKDAY
1169,114198,10157005,114198,1,metro,WEEKDAY
1170,114201,10159029,114201,1,metro,WEEKDAY
1171,114219,10177119,114219,1,metro,WEEKDAY
1174,114279,41212073,114279,1,metro,WEEKDAY
1175,114350,11026060,114350,1,metro,WEEKDAY
1176,114430,10036373,114430,1,metro,WEEKDAY
1177,115295,11026059,115295,1,metro,WEEKDAY
1178,115305,11316012,115305,1,metro,WEEKDAY
1179,115307,41255461,115307,1,metro,WEEKDAY
1180,115289,41255455,115289,1,metro,WEEKDAY
1181,115296,11028527,115296,1,metro,WEEKDAY
1182,115310,11041243,115310,1,metro,WEEKDAY
1183,115312,11077046,115312,1,metro,WEEKDAY
1184,114558,21007011,114558,1,metro,WEEKDAY
1185,114596,40008021,114596,1,metro,WEEKDAY
1186,114605,10009044,114605,1,metro,WEEKDAY
1187,114606,21009045,114606,1,metro,WEEKDAY
1188,114732,11316013,114732,1,metro,WEEKDAY
1191,114759,21007026,114759,1,metro,WEEKDAY
1198,114004,21118373,114004,1,metro,WEEKDAY
1199,114020,21205021,114020,1,metro,WEEKDAY
1200,114206,10161012,114206,1,metro,WEEKDAY
1201,114244,10192049,114244,1,metro,WEEKDAY
1202,114269,10205019,114269,1,metro,WEEKDAY
1203,114278,30212072,114278,1,metro,WEEKDAY
1204,114527,20601006,114527,1,metro,WEEKDAY
1205,114554,10007027,114554,1,metro,WEEKDAY
1206,114654,21111032,114654,1,metro,WEEKDAY
1207,114342,30255456,114342,1,metro,WEEKDAY
1208,114343,30255457,114343,1,metro,WEEKDAY
1209,114344,30255458,114344,1,metro,WEEKDAY
1210,114345,30255459,114345,1,metro,WEEKDAY
1211,114740,20043037,114740,1,metro,WEEKDAY
1212,114742,20049014,114742,1,metro,WEEKDAY
1213,114709,41250343,114709,1,metro,WEEKDAY
1214,114711,41257332,114711,1,metro,WEEKDAY
1216,114096,20001036,114096,1,metro,WEEKDAY
1217,114163,11013017,114163,1,metro,WEEKDAY
1218,114249,10002555,114249,1,metro,WEEKDAY
1219,115282,11077042,115282,1,metro,WEEKDAY
1220,115348,11013021,115348,1,metro,WEEKDAY
1221,114635,20931008,114635,1,metro,WEEKDAY
1222,114014,20166053,114014,1,metro,WEEKDAY
1223,114210,20166054,114210,1,metro,WEEKDAY
1224,114346,41255460,114346,1,metro,WEEKDAY
1225,114347,41255462,114347,1,metro,WEEKDAY
1226,114348,41255463,114348,1,metro,WEEKDAY
1227,114404,20316011,114404,1,metro,WEEKDAY
1232,114481,20048606,114481,1,metro,WEEKDAY
1235,114553,10007021,114553,1,metro,WEEKDAY
1236,114555,10007029,114555,1,metro,WEEKDAY
1237,114259,10202086,114259,1,metro,WEEKDAY
1238,114557,21007005,114557,1,metro,WEEKDAY
1239,114658,21114025,114658,1,metro,WEEKDAY
1240,114673,21161014,114673,1,metro,WEEKDAY
1248,114095,11001035,114095,1,metro,WEEKDAY
1249,114458,11041238,114458,1,metro,WEEKDAY
1250,114577,11073299,114577,1,metro,WEEKDAY
1251,114710,41252336,114710,1,metro,WEEKDAY
1253,114129,10116014,114129,1,metro,WEEKDAY
1254,114154,10124040,114154,1,metro,WEEKDAY
1255,114169,21131102,114169,1,metro,WEEKDAY
1256,114192,10152333,114192,1,metro,WEEKDAY
1257,114260,10202090,114260,1,metro,WEEKDAY
1258,114434,10037052,114434,1,metro,WEEKDAY
1259,114439,10004555,114439,1,metro,WEEKDAY
1260,114446,21004564,114446,1,metro,WEEKDAY
1262,114556,21007004,114556,1,metro,WEEKDAY
1263,114659,21116020,114659,1,metro,WEEKDAY
1264,114678,21179037,114678,1,metro,WEEKDAY
1265,114712,11026064,114712,1,metro,WEEKDAY
1266,114781,40989329,114781,1,metro,WEEKDAY
1268,114447,21004565,114447,1,metro,WEEKDAY
1269,114459,20041228,114459,1,metro,WEEKDAY
1270,114480,20048605,114480,1,metro,WEEKDAY
1276,115279,11072283,115279,1,metro,WEEKDAY
1279,115280,11074134,115280,1,metro,WEEKDAY
1280,115283,21124054,115283,1,metro,WEEKDAY
1281,115294,11019023,115294,1,metro,WEEKDAY
1282,115326,11041239,115326,1,metro,WEEKDAY
1283,115329,10004552,115329,1,metro,WEEKDAY
1284,115330,10004553,115330,1,metro,WEEKDAY
1285,115349,11028518,115349,1,metro,WEEKDAY
1286,115352,11041231,115352,1,metro,WEEKDAY
1287,115354,11041234,115354,1,metro,WEEKDAY
1288,115342,10150169,115342,1,metro,WEEKDAY
1289,115343,10177118,115343,1,metro,WEEKDAY
1290,115353,11041232,115353,1,metro,WEEKDAY
1291,115357,11073258,115357,1,metro,WEEKDAY
1292,115359,11076018,115359,1,metro,WEEKDAY
1293,115347,10671014,115347,1,metro,WEEKDAY
1294,114780,21988021,114780,1,metro,WEEKDAY
1296,115407,30271133,115407,1,metro,WEEKDAY
1297,115412,41271123,115412,1,metro,WEEKDAY
1302,114104,10101083,114104,1,metro,WEEKDAY
1303,114106,21101081,114106,1,metro,WEEKDAY
1304,114108,10102002,114108,1,metro,WEEKDAY
1305,114113,10106088,114113,1,metro,WEEKDAY
1306,114105,10101084,114105,1,metro,WEEKDAY
1307,114107,10102001,114107,1,metro,WEEKDAY
1308,114111,10106086,114111,1,metro,WEEKDAY
1309,114112,10106087,114112,1,metro,WEEKDAY
1310,114486,20048612,114486,1,metro,WEEKDAY
1311,114524,10060030,114524,1,metro,WEEKDAY
1312,114525,21060036,114525,1,metro,WEEKDAY
1313,114526,21060037,114526,1,metro,WEEKDAY
1317,114059,11071632,114059,1,metro,WEEKDAY
1318,114580,20074132,114580,1,metro,WEEKDAY
1319,114760,11074131,114760,1,metro,WEEKDAY
1320,114764,11077044,114764,1,metro,WEEKDAY
1321,114042,11041235,114042,1,metro,WEEKDAY
1323,114128,10114026,114128,1,metro,WEEKDAY
1324,114101,20010028,114101,1,metro,WEEKDAY
1325,114475,20047007,114475,1,metro,WEEKDAY
1326,114489,11049032,114489,1,metro,WEEKDAY
1327,114564,11071629,114564,1,metro,WEEKDAY
1328,114565,11071630,114565,1,metro,WEEKDAY
1329,114566,11071631,114566,1,metro,WEEKDAY
1330,114568,11072279,114568,1,metro,WEEKDAY
1331,114569,11072280,114569,1,metro,WEEKDAY
1332,114570,11072281,114570,1,metro,WEEKDAY
1333,114573,11073294,114573,1,metro,WEEKDAY
1334,114574,11073295,114574,1,metro,WEEKDAY
1335,114575,11073297,114575,1,metro,WEEKDAY
1336,114377,10003556,114377,1,metro,WEEKDAY
1337,115355,11049029,115355,1,metro,WEEKDAY
1338,114457,11041236,114457,1,metro,WEEKDAY
1339,114576,11073298,114576,1,metro,WEEKDAY
1340,114165,20013019,114165,1,metro,WEEKDAY
1341,114248,10002554,114248,1,metro,WEEKDAY
1342,114253,21002560,114253,1,metro,WEEKDAY
1343,114713,41260316,114713,1,metro,WEEKDAY
1344,114716,41268324,114716,1,metro,WEEKDAY
1345,114730,41311348,114730,1,metro,WEEKDAY
1346,114763,11076022,114763,1,metro,WEEKDAY
1349,115378,20043038,115378,1,metro,WEEKDAY
1350,115380,20071013,115380,1,metro,WEEKDAY
1351,115386,21003565,115386,1,metro,WEEKDAY
1352,114125,10111034,114125,1,metro,WEEKDAY
1353,114155,10124042,114155,1,metro,WEEKDAY
1354,114168,21131100,114168,1,metro,WEEKDAY
1355,114171,21132380,114171,1,metro,WEEKDAY
1356,114205,10161008,114205,1,metro,WEEKDAY
1357,114275,21021374,114275,1,metro,WEEKDAY
1358,114431,10036401,114431,1,metro,WEEKDAY
1359,114682,11019027,114682,1,metro,WEEKDAY
1360,114689,21202084,114689,1,metro,WEEKDAY
1361,114737,11041222,114737,1,metro,WEEKDAY
