,Unnamed: 0,LineID,TransLineNo,Mode,Description,EditNotes,Processing,short_name,long_name,shape_id,route_id,frood_of_payment,ft_mode,id,route_id1,vehicle_name,proof_of_payment
150,150,5190,KT92E,b,92 Poulsbo-Kingston,92_T02,4092,KT92E,92 Poulsbo-Kingston,92_T02,4092,0,b,5190,4092,b1,0
151,151,4372,MK_28,p,28 Broadview,20028524,1028,MK_28,28 Broadview,20028524,1028,0,p,4372,1028,p1,0
152,152,4374,MK_29,b,29 Ballard - West Q*,20029013,1029,MK_29,29 Ballard - West Q*,20029013,1029,0,b,4374,1029,b1,0
153,153,4483,MK_48,b,48 Loyal Heights/Mt*,20048608,1048,MK_48,48 Loyal Heights/Mt*,20048608,1048,0,b,4483,1048,b1,0
154,154,5057,511North,b,desc needed,511-nb-Weekday,6511,511North,desc needed,511-nb-Weekday,6511,0,b,5057,6511,b1,0
155,155,5070,410North,b,desc needed,410-nb-Weekday,3410,410North,desc needed,410-nb-Weekday,3410,0,b,5070,3410,b1,0
156,156,5255,KT15,b,15 McWilliams Shutt*,15c_all_T01,4015,KT15,15 McWilliams Shutt*,15c_all_T01,4015,0,b,5255,4015,b1,0
157,157,5258,KT32,b,32 Poulsbo/Silverda*,32oly_T01,4032,KT32,32 Poulsbo/Silverda*,32oly_T01,4032,0,b,5258,4032,b1,0
158,158,5273,KT90,b,90 Poulsbo/Bainbrid*,90_v_T01,4090,KT90,90 Poulsbo/Bainbrid*,90_v_T01,4090,0,b,5273,4090,b1,0
159,159,5292,MK_17,b,17 test,11017041,1017,MK_17,17 test,11017041,1017,0,b,5292,1017,b1,0
160,160,4144,MK_120,b,120 Burien to Seatt*,10120056,1120,MK_120,120 Burien to Seatt*,10120056,1120,0,b,4144,1120,b1,0
161,161,4007,MK_121,b,121 Normandy Park e*,10121095,1121,MK_121,121 Normandy Park e*,10121095,1121,0,b,4007,1121,b1,0
162,162,4009,MK_122,b,122 Des moines expr*,21122021,1122,MK_122,122 Des moines expr*,21122021,1122,0,b,4009,1122,b1,0
163,163,4735,MK_37,b,37 Alki,21037051,1037,MK_37,37 Alki,21037051,1037,0,b,4735,1037,b1,0
164,164,4136,MK_119,b,119 Dockton,10119016,1119,MK_119,119 Dockton,10119016,1119,0,b,4136,1119,b1,0
165,165,4138,MK_119,b,119 Dockton,21119002,1119,MK_119,119 Dockton,21119002,1119,0,b,4138,1119,b1,0
166,166,4143,MK_12,b,12 interlaken park,21012037,1012,MK_12,12 interlaken park,21012037,1012,0,b,4143,1012,b1,0
167,167,4193,MK_153,b,153 Kent/Renton Shu*,10153018,1153,MK_153,153 Kent/Renton Shu*,10153018,1153,0,b,4193,1153,b1,0
168,168,4229,MK_182,b,182 Federal Way-NE *,10182009,1182,MK_182,182 Federal Way-NE *,10182009,1182,0,b,4229,1182,b1,0
169,169,4230,MK_182,b,182 Federal Way-NE *,21182008,1182,MK_182,182 Federal Way-NE *,21182008,1182,0,b,4230,1182,b1,0
170,170,4083,MK_916,b,916 Kent Shuttle (D*,41916012,1916,MK_916,916 Kent Shuttle (D*,41916012,1916,0,b,4083,1916,b1,0
171,171,4196,MK_156,b,156 SeaTac - Southc*,31156019,1156,MK_156,156 SeaTac - Southc*,31156019,1156,0,b,4196,1156,b1,0
172,172,4832,PT400Na,b,400 Puyllp-Tacoma WB,FEB14-400432,2400,PT400Na,400 Puyllp-Tacoma WB,FEB14-400432,2400,0,b,4832,2400,b1,0
173,173,4625,MK_917,b,917 Auburn/Algona/P*,21917022,1917,MK_917,917 Auburn/Algona/P*,21917022,1917,0,b,4625,1917,b1,0
174,174,4227,MK_181,b,181 Green River CC/*,30181030,1181,MK_181,181 Green River CC/*,30181030,1181,0,b,4227,1181,b1,0
175,175,4693,MK_209,b,209 Issaquah/North *,41209015,1209,MK_209,209 Issaquah/North *,41209015,1209,0,b,4693,1209,b1,0
176,176,5249,ET29,b,29 Mall Stn-Coll Stn,RT29NB01_ALL,7029,ET29,29 Mall Stn-Coll Stn,RT29NB01_ALL,7029,0,b,5249,7029,b1,0
177,177,4958,MKFF1b,f,KCFD E BAY WTR TX EB,40973010,5999,MKFF1b,KCFD E BAY WTR TX EB,40973010,5999,0,f,4958,5999,f1,0
178,178,5304,MK_301,b,301 Aurora Village-*,11301131,1301,MK_301,301 Aurora Village-*,11301131,1301,0,b,5304,1301,b1,0
179,179,5145,KT29E,b,29 Trenton Avenue,29_T06,4029,KT29E,29 Trenton Avenue,29_T06,4029,0,b,5145,4029,b1,0
180,180,5146,KT29N,b,29 Trenton Avenue,29_T13,4029,KT29N,29 Trenton Avenue,29_T13,4029,0,b,5146,4029,b1,0
181,181,5152,KT33W,b,33 Silvrdale-Bain WB,33s_all_T01,4033,KT33W,33 Silvrdale-Bain WB,33s_all_T01,4033,0,b,5152,4033,b1,0
182,182,5189,KT91Sb,b,91 Kingston-Bainbrdg,91k_a_T01,4091,KT91Sb,91 Kingston-Bainbrdg,91k_a_T01,4091,0,b,5189,4091,b1,0
183,183,5092,KT91Na,b,91 Kingston/Bainbri*,91b_IC_T02,4091,KT91Na,91 Kingston/Bainbri*,91b_IC_T02,4091,0,b,5092,4091,b1,0
